AuthorID,Author,Date,Content,Attachments,Reactions
"117543813563547648","LittlestAnt#3124","2019-05-06 16:22:08Z","@everyone if y’all want to go to sdjs tomorrow at 5:30 can you react to this message","","js (2),acm (2)"
"165100050110742530","cherryfeather#3004","2019-06-06 06:05:19Z","We're going to TRAMPS or Nocturnal Wonderland!!!","","😍 (1)"
"117543813563547648","LittlestAnt#3124","2019-06-16 06:21:27Z","@Snu are you going to ax","",""
"65559042231119872","Snu#0167","2019-06-16 06:29:26Z","i might go for a day","",""
"65559042231119872","Snu#0167","2019-06-16 06:29:55Z","depending on if i can get back to la before july 4th","",""
"165100050110742530","cherryfeather#3004","2019-08-04 18:52:49Z","Anyone interested in playing or learning how to play tennis? :0","",""
"261357590829596674","truly#5810","2019-08-04 19:14:25Z","Downn","",""
"261357590829596674","truly#5810","2019-08-04 19:14:38Z","Like when tho ur not in sd","",""
"165100050110742530","cherryfeather#3004","2019-08-04 21:10:37Z","During the school year","",""
"574753989069897729","Daniel Truong#0760","2019-08-06 06:48:56Z","Wait I'm down to learn too","",""
"190441916108636160","falafel72#3707","2019-08-06 07:23:20Z","i can actually play","",""
"190441916108636160","falafel72#3707","2019-08-06 07:23:37Z","haven't played in years tho","",""
"165100050110742530","cherryfeather#3004","2019-08-06 10:19:34Z","Yey","",""
"165100050110742530","cherryfeather#3004","2019-08-06 10:19:53Z","I'll bring a few extra tennis racquets","",""
"261357590829596674","truly#5810","2019-08-10 19:52:48Z","if anyone's in sd rn i'm flying back rn so down to do anything!","",""
"230740809476079619","killahsoda#8325","2019-08-10 21:58:28Z","i'm down for tennis","",""
"230740809476079619","killahsoda#8325","2019-08-10 21:58:51Z","played a lot in high school","",""
"165100050110742530","cherryfeather#3004","2019-08-11 01:12:21Z","Bring some racquets and we can make it a social :0","","👍 (1)"
"261357590829596674","truly#5810","2019-08-11 17:35:00Z","whos going to pennapps","",""
"261357590829596674","truly#5810","2019-08-11 17:35:09Z","i got travel hypee","",""
"65559042231119872","Snu#0167","2019-08-11 19:20:58Z","","https://cdn.discordapp.com/attachments/573040234921459722/610190940581134336/Screenshot_20190811-122044.jpg",""
"65559042231119872","Snu#0167","2019-08-11 19:21:01Z","rip","",""
"148981420042223616","rin#0388","2019-08-11 20:57:44Z","big yikes","",""
"574754042295877653","nic#3358","2019-08-11 21:17:38Z","","https://cdn.discordapp.com/attachments/573040234921459722/610220298901389347/image0.png",""
"65559042231119872","Snu#0167","2019-08-17 02:56:05Z","they ended up giving me 70 dollars dang","https://cdn.discordapp.com/attachments/573040234921459722/612117411847471114/unknown.png",""
"261357590829596674","truly#5810","2019-08-17 02:56:24Z","im not going","",""
"65559042231119872","Snu#0167","2019-08-17 02:56:33Z","no way 70 dollars is enough rip","",""
"261357590829596674","truly#5810","2019-08-17 02:56:41Z","they gave me $320","",""
"261357590829596674","truly#5810","2019-08-17 02:56:52Z","so i have officially declared pennapps","",""
"261357590829596674","truly#5810","2019-08-17 02:57:01Z","to be a “yeah meh” hackathon","",""
"65559042231119872","Snu#0167","2019-08-17 02:57:23Z","alright i just declined","",""
"65559042231119872","Snu#0167","2019-08-17 02:57:27Z","o well maybe next yr","",""
