AuthorID,Author,Date,Content,Attachments,Reactions
"148128620731170816","Grunge#2467","2019-06-07 17:17:37Z","hi im panda ur in house tesc shill nice to meet u","","❌ (2),👎 (2),👋 (3),😍 (2),😯 (1)"
"117543813563547648","LittlestAnt#3124","2019-06-07 17:47:59Z","Pinned a message.","",""
"440760645625970689","efeichen#9324","2019-07-21 22:45:49Z","What’s up guys 👋. Just joined the server and wanna say hello. Ima be a CS freshman this fall so it’s nice meeting y’all senpai 😌. Feel free to msg me and ask me questions.","","acmflat (7)"
"440760645625970689","efeichen#9324","2019-07-21 22:47:03Z","And it was initially @LittlestAnt who told me about ACM and @cherryfeather  invited me in the server so thanks you two","",""
"261357590829596674","truly#5810","2019-07-22 02:03:43Z","Welcome to ACM! I'm Ronak, nice to meet you!","","👋 (2)"
"440760645625970689","efeichen#9324","2019-07-22 02:50:06Z","Saw you at the CSE23 group chat a few times. Nice to meet you Ronak!","",""
"165100050110742530","cherryfeather#3004","2019-07-22 03:44:42Z","Hi @efeichen glad to see you join us! I may be going to half and half sometime this week if you're in DB and down and wanna meet up! I have a few friends in the 626 area. Also if you have any fellow CS friends feel free to add them to the chat and we can spam them what ACM is all about:D","",""
"440760645625970689","efeichen#9324","2019-07-22 07:53:30Z","If it’s close enough to DB I can probably make it (I’m actually getting driving lessons this week so can’t go far just yet).","",""
"440760645625970689","efeichen#9324","2019-07-22 07:55:24Z","And yes I’ll DM some invites to a couple, but have you guys considered just sending the invite en mass like in the CO23 FB group or the CSE 23 Messenger chat?","",""
"261357590829596674","truly#5810","2019-07-22 15:34:42Z","Yeah we're going to discuss doing that today","",""
"430479974063931403","shawn#8035","2019-07-24 17:05:26Z","Hey guys! Just found this server and wanted to introduce myself, I'm Shawn and I'm gonna be majoring in Computer Engineering in the ECE Dept. Also to add on I'm an incoming freshman in Sixth","","acmflat (4)"
"261357590829596674","truly#5810","2019-07-24 18:16:59Z","Welcome to UCSD! @falafel72 is a fellow racoon friend in sixth lol","",""
"538807390594662432","Bryon Tjanaka#2487","2019-07-24 18:30:56Z","Hi this is Bryon from the UCI chapter - I’m a third-year CS specializing in AI","","acmflat (4)"
"261357590829596674","truly#5810","2019-07-24 18:31:43Z","Hey Byron! I'm very jealous UCI has a Taco Bell very near you","",""
"538807390594662432","Bryon Tjanaka#2487","2019-07-24 18:33:41Z","Well Irvine is the HQ for Taco Bell and In-n-Out, so 🤷‍♂️","",""
"261357590829596674","truly#5810","2019-07-24 18:33:45Z","god damn","",""
"261357590829596674","truly#5810","2019-07-24 18:33:57Z","i am very jealous","",""
"522908004136255489","shmet#9694","2019-07-24 18:50:46Z","sixth gang","",""
"440760645625970689","efeichen#9324","2019-07-24 19:03:46Z","Sixth gang 🤙","",""
"190441916108636160","falafel72#3707","2019-07-24 21:25:42Z","sixth gaaang","",""
"190441916108636160","falafel72#3707","2019-07-24 21:25:55Z","don't forget @Snu","",""
"65559042231119872","Snu#0167","2019-07-24 21:26:13Z","wheres the raccoon emoji","",""
"254873393113858048","Danny#8637","2019-07-25 05:09:35Z","Hey guys, my name is Danny and i'm an incoming freshman this fall. Looking forward to college and ACM! I don't rlly know a lot of CS so i'll try to learn as much as possible. 🔥","","acm (6)"
"261357590829596674","truly#5810","2019-07-25 11:44:00Z","Eyyyy Danny welcome","","👌 (1)"
"165100050110742530","cherryfeather#3004","2019-07-28 01:31:33Z","Wow I'm so excited and love all of these introductions!","","acm (3)"
"307685349730156545","tris !!#9405","2019-07-28 01:57:37Z","hi there everyone! i'm Trisa and i'm  an incoming freshman majoring in CS! my constant mood is crying over coding errors or boba :D its nice to meet u guys","","acm (6)"
"261357590829596674","truly#5810","2019-07-28 04:06:59Z","Hi Trisa! I spent ~5 hours yesterday crying over coding errors and nice to meet you too","","🐳 (1),😭 (1),angry_laughing (1)"
"261357590829596674","truly#5810","2019-07-28 16:12:03Z","@Snu don't taunt me with that docket emoji","",""
