AuthorID,Author,Date,Content,Attachments,Reactions
"90669319024836608","for loop#9853","2019-05-20 03:03:48Z","hey","",""
"90669319024836608","for loop#9853","2019-05-20 03:03:50Z","i need firends","",""
"165100050110742530","cherryfeather#3004","2019-05-20 03:03:59Z","same","",""
"90669319024836608","for loop#9853","2019-05-20 03:04:06Z","bro i got yeeted","",""
"65559042231119872","Snu#0167","2019-05-28 01:31:01Z","@for loop me too","",""
"165100050110742530","cherryfeather#3004","2019-06-05 22:01:31Z","Hello I will be in lab until 5 or 6 getting tutor help if anyone wants to study by and study/suffer w me!","",""
"65559042231119872","Snu#0167","2019-06-22 01:26:41Z","https://my.pennapps.com/ apply!!","https://cdn.discordapp.com/attachments/573052309869821953/591801171069632513/unknown.png",""
"65559042231119872","Snu#0167","2019-06-22 01:26:53Z","also looking for a team","",""
"261357590829596674","truly#5810","2019-06-22 01:26:58Z","Oh shit","",""
"261357590829596674","truly#5810","2019-06-22 01:27:02Z","When is it due","",""
"65559042231119872","Snu#0167","2019-06-22 01:27:04Z","july 15th","",""
"261357590829596674","truly#5810","2019-06-22 01:27:09Z","im down to do it with you","",""
"261357590829596674","truly#5810","2019-06-22 01:27:11Z","lets go win","",""
"65559042231119872","Snu#0167","2019-06-22 01:27:23Z","assuming we get travel reimbursement","",""
"65559042231119872","Snu#0167","2019-06-22 01:27:27Z","im so down","",""
"261357590829596674","truly#5810","2019-06-22 01:27:32Z","yea","",""
"261357590829596674","truly#5810","2019-06-22 01:27:33Z","true","",""
"261357590829596674","truly#5810","2019-06-22 01:27:47Z","pennapps is so sketch on travel","",""
"261357590829596674","truly#5810","2019-06-22 01:27:54Z","They claim they are","",""
"261357590829596674","truly#5810","2019-06-22 01:28:00Z","But I never can get it","",""
"261357590829596674","truly#5810","2019-06-22 01:28:01Z","Wajt","",""
"65559042231119872","Snu#0167","2019-06-22 01:28:04Z","yeah idk if im willing to fork over $200+","",""
"261357590829596674","truly#5810","2019-06-22 01:28:08Z","Lets do hackthenorth together","",""
"261357590829596674","truly#5810","2019-06-22 01:28:15Z","Can u check when it's due","",""
"261357590829596674","truly#5810","2019-06-22 01:28:20Z","Htn gives","",""
"65559042231119872","Snu#0167","2019-06-22 01:28:42Z","idk if u can apply yet","",""
"261357590829596674","truly#5810","2019-06-22 01:28:47Z","O","",""
"65559042231119872","Snu#0167","2019-06-22 01:28:53Z","theres just an email form for updates","",""
"261357590829596674","truly#5810","2019-06-22 01:28:58Z","Welp lets go to that one too if we can","",""
"65559042231119872","Snu#0167","2019-06-22 01:29:04Z","actually down","",""
"65559042231119872","Snu#0167","2019-06-22 01:29:09Z","i wanna explore canada for a bit","",""
"261357590829596674","truly#5810","2019-06-22 01:29:10Z","I'm down do go win every hackathon Stanley","",""
"261357590829596674","truly#5810","2019-06-22 01:29:13Z","Lets do it","",""
"65559042231119872","Snu#0167","2019-06-22 01:29:16Z","same","",""
"261357590829596674","truly#5810","2019-06-22 01:29:20Z","Or Yeah I wanna chill at htn","",""
"261357590829596674","truly#5810","2019-06-22 01:29:27Z","But we'll win pennapps","",""
"65559042231119872","Snu#0167","2019-06-22 01:29:42Z","maybe we can like buy tickets and arrive friday morning","",""
"65559042231119872","Snu#0167","2019-06-22 01:29:46Z","explore","",""
"65559042231119872","Snu#0167","2019-06-22 01:29:59Z","then arrive at the hackathon later in the day","",""
"261357590829596674","truly#5810","2019-06-22 01:30:01Z","Ez","",""
"65559042231119872","Snu#0167","2019-06-22 01:30:15Z","or just submit a not hotdog app and explore for 3 days LOl","",""
"261357590829596674","truly#5810","2019-06-22 02:43:07Z","Shit u right","",""
"117543813563547648","LittlestAnt#3124","2019-06-26 03:55:58Z","@Snu  I was talking about it to an incoming first year today","",""
"117543813563547648","LittlestAnt#3124","2019-06-26 03:56:06Z","Do you want me to ask him to join you?","",""
"261357590829596674","truly#5810","2019-06-26 03:56:16Z","about what","",""
"65559042231119872","Snu#0167","2019-06-26 03:56:20Z","ooo im down to team with anyone yea","",""
"261357590829596674","truly#5810","2019-06-26 03:56:23Z","htn?","",""
"65559042231119872","Snu#0167","2019-06-26 03:56:32Z","o wait pennapps","",""
"261357590829596674","truly#5810","2019-06-26 03:56:48Z","o shit i gotta apply","",""
"65559042231119872","Snu#0167","2019-06-26 03:57:08Z","theres no team form yet but i think it comes out once u get accepted","",""
"261357590829596674","truly#5810","2019-06-26 04:05:36Z","@Snu i applied","",""
"261357590829596674","truly#5810","2019-06-26 04:05:41Z","but forgot to add a team","",""
"65559042231119872","Snu#0167","2019-06-26 04:05:41Z","ayy nice","",""
"65559042231119872","Snu#0167","2019-06-26 04:05:49Z","wait can you actually add team members","",""
"261357590829596674","truly#5810","2019-06-26 04:05:49Z","but isok we can figure that out later","",""
"261357590829596674","truly#5810","2019-06-26 04:05:52Z","hopefully i can get in","",""
"261357590829596674","truly#5810","2019-06-26 04:05:59Z","yeah but u gotta do it b4 u apply it turns out","",""
"65559042231119872","Snu#0167","2019-06-26 04:06:03Z","i think it was grayed out i dont remember","",""
"65559042231119872","Snu#0167","2019-06-26 04:06:03Z","oh","",""
"261357590829596674","truly#5810","2019-06-26 04:06:04Z","which i didn't realize lol","",""
"65559042231119872","Snu#0167","2019-06-26 04:06:08Z","oops","",""
"261357590829596674","truly#5810","2019-06-26 04:06:23Z","yea rip","",""
"165100050110742530","cherryfeather#3004","2019-08-07 02:21:31Z","Hi I'm Kendall and I'm looking for LinkedIn connections 👀","",""
"148981420042223616","rin#0388","2019-08-17 04:42:45Z","@Snu @Jeff","https://cdn.discordapp.com/attachments/573052309869821953/612144257309868032/image0.png",""
"65559042231119872","Snu#0167","2019-08-17 04:43:13Z","they gave 70 dollars in reimbursement so i declined LOL","",""
"148981420042223616","rin#0388","2019-08-17 04:43:20Z","LOL","",""
"148981420042223616","rin#0388","2019-08-17 04:43:23Z","yeet","",""
"148981420042223616","rin#0388","2019-08-17 04:43:36Z","fok man I wanna visit mit or upen campus","","acm (1)"
"261357590829596674","truly#5810","2019-08-17 04:44:26Z","Medhacks is your best bet to get in that area","",""
"261357590829596674","truly#5810","2019-08-17 04:44:36Z","They give enough to cover the flight","",""
"65559042231119872","Snu#0167","2019-08-17 04:44:55Z","but them acm events","",""
"148981420042223616","rin#0388","2019-08-17 04:49:26Z","🤔","",""
"65559042231119872","Snu#0167","2019-08-21 01:24:48Z","https://2019.hack.gt","",""
"65559042231119872","Snu#0167","2019-08-21 01:24:51Z","yo someone come with me","",""
"261357590829596674","truly#5810","2019-08-21 01:25:00Z","applying yes","",""
"261357590829596674","truly#5810","2019-08-21 01:25:05Z","do they travel","",""
"90669319024836608","for loop#9853","2019-08-21 01:25:05Z","OH SHIT","",""
"65559042231119872","Snu#0167","2019-08-21 01:25:05Z","yo u wanna do a 48 hour hackathon","",""
"65559042231119872","Snu#0167","2019-08-21 01:25:07Z","ya","",""
"65559042231119872","Snu#0167","2019-08-21 01:25:07Z","they do","",""
"261357590829596674","truly#5810","2019-08-21 01:25:09Z","holy","",""
"261357590829596674","truly#5810","2019-08-21 01:25:13Z","my friend is in georgia","",""
"261357590829596674","truly#5810","2019-08-21 01:25:14Z","lets do it","",""
"90669319024836608","for loop#9853","2019-08-21 01:25:15Z","Lets go","",""
"65559042231119872","Snu#0167","2019-08-21 01:25:19Z","GT GT GT","",""
"90669319024836608","for loop#9853","2019-08-21 01:25:20Z","MY B FRIEND IN GT","",""
"65559042231119872","Snu#0167","2019-08-21 01:30:14Z","hi everyone join my 56 hour hackathon","",""
"65559042231119872","Snu#0167","2019-08-21 01:30:20Z","ill start it in my room","",""
"165100050110742530","cherryfeather#3004","2019-09-06 01:27:15Z","Who here is going to TwitchCon Hackathon?","",""
"261357590829596674","truly#5810","2019-09-06 01:27:28Z","whats that","",""
"90669319024836608","for loop#9853","2019-09-06 01:27:48Z","Did acceptance come out?","",""
"261357590829596674","truly#5810","2019-09-06 01:27:55Z","o rip too late","",""
"165100050110742530","cherryfeather#3004","2019-09-06 02:41:08Z","is it too late to apply?","",""
"165100050110742530","cherryfeather#3004","2019-09-06 02:41:12Z","@for loop did you apply yet","",""
"165100050110742530","cherryfeather#3004","2019-09-06 02:43:28Z","uh i got acceptance a bit back cuz i was originally gonna hack alone but then i got lonely","",""
