AuthorID,Author,Date,Content,Attachments,Reactions
"71501943637282816","KNOX#1118","2020-05-29 20:45:46Z","Portal should be a bloated electron app I install on my computer","","angry_laughing (7)"
"132525049977503744","Gideon#5433","2020-05-29 20:48:07Z","And even though it's Electron, it should be only compatible with Windows","",""
"262163646132649985","hexalellogram#1647","2020-05-29 20:48:37Z","> And even though it's Electron, it should be only compatible with Windows
@Gideon ok this hurts","",""
"71501943637282816","KNOX#1118","2020-05-29 20:48:49Z","that's a real thing real companies do","",""
"71501943637282816","KNOX#1118","2020-05-29 20:48:53Z","just look at Mailbird","",""
"261357590829596674","truly#5810","2020-05-29 20:53:45Z","i have a desktop version of Portal @KNOX","",""
"261357590829596674","truly#5810","2020-05-29 20:53:48Z","i can say first hand","",""
"261357590829596674","truly#5810","2020-05-29 20:53:55Z","it is b l o a t e d","",""
"262163646132649985","hexalellogram#1647","2020-05-29 21:00:49Z","idea - weekly minecraft meetups over the summer
hopefully ppl have more time (since summer) than during the school year
and it would be a good way to attract first years too","",""
"629076276317126669","ishaanharry#7544","2020-05-29 21:26:10Z","this is a new channel","",""
"629076276317126669","ishaanharry#7544","2020-05-29 21:26:16Z","who's **idea** was this?","","😮 (1)"
"262163646132649985","hexalellogram#1647","2020-05-29 21:28:47Z","ba dum tss","",""
"311262625784922112","michl1001#5416","2020-05-29 21:41:50Z","Minecraft competitions?","","Upvote (1)"
"71501943637282816","KNOX#1118","2020-05-29 22:02:54Z","ooh like what kind","",""
"184400560634593281","Storm_FireFox1#0001","2020-05-29 22:03:22Z","Redstone","",""
"184400560634593281","Storm_FireFox1#0001","2020-05-29 22:03:24Z","Manhunt","",""
"184400560634593281","Storm_FireFox1#0001","2020-05-29 22:03:26Z","Speedruns","",""
"629076276317126669","ishaanharry#7544","2020-05-29 22:04:58Z","making one of these:","",""
"629076276317126669","ishaanharry#7544","2020-05-29 22:04:58Z","https://github.com/ashutoshbsathe/scarpet-nn","",""
"190441916108636160","falafel72#3707","2020-05-29 22:23:44Z","would high key be down for a parkour race lmaoo","",""
"71501943637282816","KNOX#1118","2020-05-29 22:28:50Z","winner gets diamonds","",""
"262163646132649985","hexalellogram#1647","2020-05-29 22:33:07Z","honestly i feel like if we want to do competitions like that our server needs to be kind of rearchitected

like rn its just vanilla survival, but this is a conversation for the #minecraft channel","",""
"311262625784922112","michl1001#5416","2020-05-29 22:36:33Z","Still waiting for that Minecraft rebuild Price center event","",""
"65559042231119872","Snu#0167","2020-05-30 02:47:21Z","acm yoga mats","",""
"375839676495429632","loanshark#2305","2020-05-30 02:57:50Z","acm weight room","",""
"315890107699691521","mIdKnIgHt(Thomas G)#5965","2020-05-30 02:59:29Z","acm room","","😢 (1)"
"190441916108636160","falafel72#3707","2020-05-30 03:03:58Z","^ 2022","",""
"190441916108636160","falafel72#3707","2020-05-30 03:03:59Z","xd","",""
"165100050110742530","cherryfeather#3004","2020-05-30 03:36:13Z","ac","",""
"165100050110742530","cherryfeather#3004","2020-05-30 03:36:16Z","animal crossing","",""
"206933072078307328","iceeee#5570","2020-05-30 04:11:17Z","_ _","",""
"629076276317126669","ishaanharry#7544","2020-05-30 05:01:56Z","^^how is this possible?","",""
