AuthorID,Author,Date,Content,Attachments,Reactions
"107890862679162880","Magnaguard#6935","2020-02-29 23:44:56Z","Hey yall! ACM plays league will start in approximately 3 and a half hours, at 7pm! I'll be posting the logistics here and updates as we get closer to the start time. Make sure to stay tuned and hop in when we start the event!","",""
"315890107699691521","mIdKnIgHt(Thomas G)#5965","2020-03-01 01:22:23Z","Where","",""
"107890862679162880","Magnaguard#6935","2020-03-01 02:02:41Z","ACM Plays League will start in about 1 hour!","",""
"107890862679162880","Magnaguard#6935","2020-03-01 02:04:15Z","@mIdKnIgHt(Thomas G) the event will be on discord, everyone will hop into a call and depending on how many people we have I'll try to split everyone into teams. If we have 10 people it'll be a 5v5 league game","",""
"107890862679162880","Magnaguard#6935","2020-03-01 02:04:38Z","Otherwise we'll most likely do just premades of 5 queueing up in normal draft games","",""
"107890862679162880","Magnaguard#6935","2020-03-01 02:42:29Z","We'll be playing League in about 30 minutes! For all those who signed up, if you cant make it anymore just let me know either through DM or in the #deleted-channel channel! Please feel free to hop in anytime even if you havent signed in  to chat or if you want to play, we'll try to fit you into the next game!

@wd @Elias @willmathforfood @shbiswas","",""
"107890862679162880","Magnaguard#6935","2020-03-01 02:46:12Z","I wasnt able to find @itartarus_x#8503, @syarif#4296, @Creed#9178, and @JonnyJonny#8200 on this Discord, so if you know them please invite them to these channels!","",""
"107890862679162880","Magnaguard#6935","2020-03-01 02:51:02Z","These will be the teams, we might go for just premades of 4 in normal draft because it doesn't seem like we'll be able to get teams of 5 to do a 5v5 against each other unless others hop in. Please let me know if y'all would like any specific teams or have any suggestions","https://cdn.discordapp.com/attachments/681271263909511200/683506553269387313/unknown.png","pepeOK (1)"
"107890862679162880","Magnaguard#6935","2020-03-01 03:01:32Z","**We'll be starting the League in-house right now!** I'll be waiting in the voice until about 7:15pm, at which we'll start to play games depending on how many people there are available! Hop in anytime!","",""
"107890862679162880","Magnaguard#6935","2020-03-01 03:02:35Z","If you dont have a mic feel free to listen in and type to us using the #deleted-channel channel!","",""
"107890862679162880","Magnaguard#6935","2020-03-01 05:01:49Z","thank you to all who came to play league tonight! **Our next Discord event will be on Thursday, March 19, where we'll play Jackbox Party Packs 3, 4, 5, 6 and Drawful 2.** It'll be right in the middle of Finals week so it'll be a great destresser. Make sure to stay tuned for more news!","","acm (1)"
"107890862679162880","Magnaguard#6935","2020-03-19 03:20:12Z","Hey everyone, make sure to show up to our Jackbox Party Pack event tomorrow from 7PM-9PM! It'll be happening right here on this Discord and feel free to hop in and hop out anytime or just stay to chat!","","acm_white (3)"
"107890862679162880","Magnaguard#6935","2020-03-20 00:49:25Z","Just a reminder that we'll be playing Jackbox in about an hour!","",""
"107890862679162880","Magnaguard#6935","2020-03-20 02:00:16Z","Alright I'll be waiting in the events voice channels until we get enough players to play a game, feel free to hop in and hop out anytime to play or just to chat!","",""
"107890862679162880","Magnaguard#6935","2020-03-21 02:38:34Z","thanks to everyone who hopped into the event to play some jackbox last night! Our next Discord gaming event will be on week 2 of spring quarter, **Saturday, April 11.** We'll be playing pictionary on the infamous skribbl.io, I hope to see you all there!","","💯 (1)"
"117543813563547648","LittlestAnt#3124","2020-04-10 02:22:38Z","SPYFALL","",""
"117543813563547648","LittlestAnt#3124","2020-04-10 02:22:39Z","https://spyfall.adrianocola.com/","",""
"105786483973046272","justnguyen1#1609","2020-04-10 02:24:16Z","Room: AW3I5","",""
"105786483973046272","justnguyen1#1609","2020-04-10 02:24:22Z","that's the letter I, not the number 1","",""
"117543813563547648","LittlestAnt#3124","2020-04-10 02:28:30Z","THE CHECKIN CODE IS dead","",""
"117543813563547648","LittlestAnt#3124","2020-04-11 01:19:27Z","CHECK IN WITH THE CODE g4m3r","",""
"117543813563547648","LittlestAnt#3124","2020-04-11 01:19:40Z","GO TO https://mc.acmucsd.com TO SEE A CHAT","",""
"117543813563547648","LittlestAnt#3124","2020-04-11 01:19:49Z","SERVER IP IS **mc.acmucsd.com**","",""
"107890862679162880","Magnaguard#6935","2020-04-11 19:30:35Z","hey yall dont forget that we'll be playing skribbl io from 7-9pm tonight!","","acm (4)"
