AuthorID,Author,Date,Content,Attachments,Reactions
"184400560634593281","Storm_FireFox1#0001","2020-05-26 00:23:02Z","Zeroth?","",""
"400790942925324308","StoneT2000#2103","2020-05-26 00:45:10Z","wut that","",""
"186637503732776962","wd#2465","2020-05-26 00:45:52Z","before first","",""
"400790942925324308","StoneT2000#2103","2020-05-26 00:46:14Z","ironically the first message in this chat","",""
"629076276317126669","ishaanharry#7544","2020-05-26 01:30:05Z","what is this one for?","",""
"400790942925324308","StoneT2000#2103","2020-05-26 01:30:17Z","acm competitions, hackathon stuff","",""
"400790942925324308","StoneT2000#2103","2020-05-26 01:30:27Z","im hoping people doing the ai competition might discuss strats here","",""
"400790942925324308","StoneT2000#2103","2020-05-26 01:30:38Z","or ask about bugs and what not","",""
"629076276317126669","ishaanharry#7544","2020-05-26 01:30:52Z","alright guys, where do you think he hides the solution code?","",""
"400790942925324308","StoneT2000#2103","2020-05-26 01:31:05Z","lmao theres no solution unfortunately","",""
"629076276317126669","ishaanharry#7544","2020-05-26 01:31:25Z","that's what you want us to think","",""
"400790942925324308","StoneT2000#2103","2020-05-26 01:31:29Z","there is no guaranteed set of code i think for the competition that will win 100%","",""
"400790942925324308","StoneT2000#2103","2020-05-26 01:31:47Z","but who knows","",""
"629076276317126669","ishaanharry#7544","2020-05-26 01:34:12Z","> but who knows
he's got the code","",""
"90669319024836608","for loop#9853","2020-05-26 01:53:51Z","So is their where i span my codeforces stats of always being last place","","😢 (1)"
"209733794532556800","ecks dee#8650","2020-05-26 02:50:22Z","1v1 me codeforces - nose typing only. webcam on to verify.","",""
"209733794532556800","ecks dee#8650","2020-05-26 02:51:36Z","https://www.youtube.com/watch?v=CTG8aXNz7Nw","",""
"629076276317126669","ishaanharry#7544","2020-05-26 02:52:28Z","@ecks dee pft, nose? Try typing with [CENSORED]","",""
"209733794532556800","ecks dee#8650","2020-05-26 02:53:09Z","you can't possibly mean... [CENSORED]??","",""
"209733794532556800","ecks dee#8650","2020-05-26 02:54:04Z","wait but fr do you mean typing with elbows b/c i can't do that","",""
"629076276317126669","ishaanharry#7544","2020-05-26 02:54:32Z","oh I definitely mean [CENSORED]","",""
"209733794532556800","ecks dee#8650","2020-05-26 03:12:37Z","i type with my ear","",""
"209733794532556800","ecks dee#8650","2020-05-26 03:13:01Z","see me slam the side of my head furiously in order to hit 20 wpm ear typing","",""
"400790942925324308","StoneT2000#2103","2020-05-26 03:17:30Z","wth","",""
"400790942925324308","StoneT2000#2103","2020-05-26 03:17:32Z","this is mad","",""
"652164683926732830","shbiswas#1576","2020-05-27 01:24:49Z","Can we ask questions about installation here or should that be a PM or smth?","",""
"400790942925324308","StoneT2000#2103","2020-05-27 01:24:54Z","ask here!","",""
"400790942925324308","StoneT2000#2103","2020-05-27 01:25:10Z","i think in the future, our competitions might have their own discord, but for now since this is  just a prototype, use this","",""
"652164683926732830","shbiswas#1576","2020-05-27 01:25:36Z","So the npm install commands, I’m getting a weird permissions error lmao","",""
"400790942925324308","StoneT2000#2103","2020-05-27 01:25:44Z","try `sudo npm install`","",""
"400790942925324308","StoneT2000#2103","2020-05-27 01:25:49Z","add sudo in front of it","",""
"400790942925324308","StoneT2000#2103","2020-05-27 01:26:03Z","for the @acmucsd/hide-and-seek-ai package u might need sudo","",""
"400790942925324308","StoneT2000#2103","2020-05-27 01:26:11Z","since we are installing it globally with `-g`","",""
"400790942925324308","StoneT2000#2103","2020-05-27 01:26:46Z","the -g just allows us to install a 'binary' called `hide-and-seek`  that allows you to watch and play matches without needing to code the javascript","",""
"652164683926732830","shbiswas#1576","2020-05-27 01:27:01Z","Thank you!!","",""
"400790942925324308","StoneT2000#2103","2020-05-27 01:27:11Z","feel free to discuss strats here","",""
"400790942925324308","StoneT2000#2103","2020-05-27 01:27:29Z","and see if u can beat the benchmark breadbot :p","",""
"117543813563547648","LittlestAnt#3124","2020-05-27 01:27:30Z","stone how did you write this in a week","",""
"400790942925324308","StoneT2000#2103","2020-05-27 01:27:39Z","🙃","",""
"629076276317126669","ishaanharry#7544","2020-05-27 01:27:49Z","@StoneT2000 when is the deadline to make a submission?","",""
"400790942925324308","StoneT2000#2103","2020-05-27 01:27:52Z","one month","",""
"400790942925324308","StoneT2000#2103","2020-05-27 01:27:53Z","approx","",""
"186637503732776962","wd#2465","2020-05-27 01:27:55Z","stone is galaxy brain","",""
"400790942925324308","StoneT2000#2103","2020-05-27 01:27:57Z","we dont have an actual deadline","",""
"629076276317126669","ishaanharry#7544","2020-05-27 01:28:00Z","ooh plenty of time","",""
"400790942925324308","StoneT2000#2103","2020-05-27 01:28:06Z","its so cheap to run this holy shiz","",""
"400790942925324308","StoneT2000#2103","2020-05-27 01:28:22Z","like this setup costs 70 bucks a month","",""
"400790942925324308","StoneT2000#2103","2020-05-27 01:28:30Z","thats why im like eh, we can let it run for a while","",""
"629076276317126669","ishaanharry#7544","2020-05-27 01:28:59Z","who's paying?","",""
"400790942925324308","StoneT2000#2103","2020-05-27 01:29:03Z","@LittlestAnt the game design is really simple, kudos to jason for suggesting hide and seek. so it wasn't too hard to make the game, the GCP setup was hard tho lmao","",""
"400790942925324308","StoneT2000#2103","2020-05-27 01:29:20Z","gcp free credits LOL","",""
"400790942925324308","StoneT2000#2103","2020-05-27 01:29:45Z","every google account gets like $300","",""
"262163646132649985","hexalellogram#1647","2020-05-27 01:36:20Z","> who's paying?
@ishaanharry  heh lol I’ve gotta give them funding eventually","",""
"400790942925324308","StoneT2000#2103","2020-05-27 01:36:44Z","what if i just bounce around google accounts","",""
"400790942925324308","StoneT2000#2103","2020-05-27 01:36:47Z","never need to pay 🙂","","👀 (2)"
"262163646132649985","hexalellogram#1647","2020-05-27 01:53:45Z","just go to hackathons and get that $50 credit","",""
"311262625784922112","michl1001#5416","2020-05-27 02:12:07Z","^^^^ facts","",""
"628059839469453322","AlexL1220#5982","2020-05-27 03:45:12Z","I have a huge number of google cloud credits collected form hackathons and similar things","",""
"400790942925324308","StoneT2000#2103","2020-05-27 03:45:32Z","ay nice","",""
"628059839469453322","AlexL1220#5982","2020-05-27 03:45:36Z","Everything I’m working on is hosted locally atm","",""
