AuthorID,Author,Date,Content,Attachments,Reactions
"334441828512432129","Hairy Otter#4797","2020-05-26 00:11:10Z","first","",""
"184400560634593281","Storm_FireFox1#0001","2020-05-26 00:11:26Z","You mean zeroth","",""
"184400560634593281","Storm_FireFox1#0001","2020-05-26 00:11:31Z","Use correct indexing","",""
"334441828512432129","Hairy Otter#4797","2020-05-26 00:11:31Z","you right","",""
"334441828512432129","Hairy Otter#4797","2020-05-26 00:12:07Z","Good Omens is a pretty nice book. Also has its own Amazon Prime series","",""
"629076276317126669","ishaanharry#7544","2020-05-26 00:12:23Z","this is new","",""
"184400560634593281","Storm_FireFox1#0001","2020-05-26 00:12:30Z","Indeed","",""
"184400560634593281","Storm_FireFox1#0001","2020-05-26 00:12:36Z","ACM Book Club","",""
"629076276317126669","ishaanharry#7544","2020-05-26 00:13:11Z","I can talk about my MMW readings","",""
"165100050110742530","cherryfeather#3004","2020-05-26 00:13:13Z","i've been reading ""why we sleep"" and rereadig ""deep work"" by cal newport","",""
"184400560634593281","Storm_FireFox1#0001","2020-05-26 00:13:38Z","> i've been reading ""why we sleep"" and rereadig ""deep work"" by cal newport
@cherryfeather I'm loving your second choice 🤪","",""
"165100050110742530","cherryfeather#3004","2020-05-26 00:13:44Z","yes yes","",""
"165100050110742530","cherryfeather#3004","2020-05-26 00:13:48Z","good guy","",""
"334441828512432129","Hairy Otter#4797","2020-05-26 00:15:24Z","_Turn Signals Are The Facial Expressions of Automobiles_ by Don Norman (famous UCSD cog sci prof) is an interesting read too","","👀 (1)"
"165100050110742530","cherryfeather#3004","2020-05-26 00:15:55Z","Read Fountianhead by Ayn Rand","",""
"190441916108636160","falafel72#3707","2020-05-26 00:16:24Z","damn controversial","",""
"165100050110742530","cherryfeather#3004","2020-05-26 00:16:34Z","I can't say I agree with her a whole lot","",""
"165100050110742530","cherryfeather#3004","2020-05-26 00:16:37Z","but i rly love her books","",""
"261357590829596674","truly#5810","2020-05-26 00:18:39Z","@Hairy Otter wait Good omens is based on a book","",""
"261357590829596674","truly#5810","2020-05-26 00:18:43Z","o hype i gotta find that","",""
"629076276317126669","ishaanharry#7544","2020-05-26 00:18:45Z","yes","",""
"334441828512432129","Hairy Otter#4797","2020-05-26 00:18:47Z","LMAO","",""
"261357590829596674","truly#5810","2020-05-26 00:18:48Z","i binged the amazon series like","",""
"261357590829596674","truly#5810","2020-05-26 00:18:54Z","in less than a week when it first came out last summer","",""
"261357590829596674","truly#5810","2020-05-26 00:18:56Z","lmfaoo","",""
